Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-29,358.15401742103916,360.26420280722857,354.2789630171009,359.1611633300781,2919905,0.0,0.0
2023-08-30,359.113183307862,368.3212196535078,358.30748415245483,361.43438720703125,3644915,0.0,0.0
2023-08-31,363.5254373419907,371.96612180384597,362.3936237443028,369.91351318359375,12639870,0.0,0.0
2023-09-01,370.2395279922425,371.3809423503147,365.79856731241273,366.7961120605469,3756035,0.0,0.0
2023-09-04,367.74569079090975,373.117047456937,362.42231017719627,363.3143310546875,7899565,0.0,0.0
2023-09-05,365.2134881043465,370.2299272279969,360.6862056548822,367.07427978515625,6793595,0.0,0.0
2023-09-06,368.30209149447865,369.66409644456337,361.03156681122175,363.06500244140625,6908360,0.0,0.0
2023-09-07,363.52539451911565,364.6380351231049,358.85424175847777,363.2760009765625,6035475,0.0,0.0
2023-09-08,366.40285000465843,375.9849465842231,365.0216432021848,374.81475830078125,7287555,0.0,0.0
2023-09-11,378.25821814115176,378.25821814115176,371.80302361129924,375.45745849609375,6565460,0.0,0.0
2023-09-12,377.88418083741914,377.88418083741914,362.82520113437334,366.62353515625,6903070,0.0,0.0
2023-09-13,364.87783665914577,368.3212531959708,360.11076093520074,366.4700622558594,6517920,0.0,0.0
2023-09-14,368.3212003092546,369.8079017789706,365.5587866234889,367.4387512207031,5225585,0.0,0.0
2023-09-15,369.84627647612433,370.9397440890221,365.63553631168077,368.7528381347656,6773145,0.0,0.0
2023-09-18,367.5826813524187,369.2036807812093,364.7627195811228,366.8824768066406,3166810,0.0,0.0
2023-09-20,364.48458045966356,373.11710999686613,363.1321473195832,367.91839599609375,4028295,0.0,0.0
2023-09-21,367.3044975378103,369.08853937367957,362.75804190436514,364.5420837402344,2504980,0.0,0.0
2023-09-22,364.54208651825934,370.18200985269965,360.83970499158585,362.7484436035156,2804785,0.0,0.0
2023-09-25,362.74844637183503,375.8698828389097,356.93587944725704,373.2225646972656,10327105,0.0,0.0
2023-09-26,372.541586278744,372.7526048292897,358.921391152974,361.53033447265625,5973300,0.0,0.0
2023-09-27,364.1008462568448,367.05507623416423,360.69577605053684,363.0265808105469,3216495,0.0,0.0
2023-09-28,366.26858392915204,366.8632938227176,356.1109787563475,359.0076904296875,21636670,0.0,0.0
2023-09-29,359.2474911981848,370.42181432602814,357.88545710371466,368.196533203125,6908925,0.0,0.0
2023-10-03,371.77420874844006,372.1386979445275,360.83967922350854,368.6952819824219,11039535,0.0,0.0
2023-10-04,366.21106269616143,368.3116471566551,353.2622688133314,355.0079650878906,6700835,0.0,0.0
2023-10-05,355.2764901464361,359.2954139736969,349.7133169824701,352.4949035644531,7397385,0.0,0.0
2023-10-06,355.0751054459464,357.3867084033603,352.0153511419808,354.6722412109375,6311950,0.0,0.0
2023-10-09,352.984122935057,353.1375936310634,346.00136726024533,349.31048583984375,5354120,0.0,0.0
2023-10-10,352.9744833164611,363.8610663056652,348.21700934605275,363.1129150390625,8377560,0.0,0.0
2023-10-11,365.83703357889357,368.4172032232007,361.7125850118366,364.2160339355469,4561415,0.0,0.0
2023-10-12,366.12469628425697,366.12469628425697,359.6886751201383,360.2833557128906,3313985,0.0,0.0
2023-10-13,359.65992025332406,361.942749182487,358.8062450354687,360.8301086425781,2983920,0.0,0.0
2023-10-16,360.8301202606094,361.60704552332606,355.96712193357394,358.2595520019531,2463960,0.0,0.0
2023-10-17,360.3505201798289,363.12250580121645,359.11318288797077,362.26885986328125,3378270,0.0,0.0
2023-10-18,362.25926583815806,362.72927897438575,355.38203433139125,358.00054931640625,2524565,0.0,0.0
2023-10-19,352.3989692481654,362.56617471076436,349.7996273556613,360.4272155761719,3099700,0.0,0.0
2023-10-20,359.97645655042635,361.75092674334195,357.96222315086334,360.01483154296875,2206225,0.0,0.0
2023-10-23,359.6503432755646,367.5539232829605,357.96222412914153,360.64788818359375,10365280,0.0,0.0
2023-10-25,359.0268501158773,361.9619073999196,343.76645488893706,348.3992614746094,6849205,0.0,0.0
2023-10-26,348.3992699253776,348.9172005610964,337.7908538852846,344.8407287597656,4792965,0.0,0.0
2023-10-27,355.0847333733144,389.36545861554026,355.0847333733144,371.2371520996094,25056665,0.0,0.0
2023-10-30,371.1987113330982,371.23708632099823,357.81828096014993,362.98822021484375,10187990,0.0,0.0
2023-10-31,364.86819488133796,365.8177929109281,358.8638116929117,360.61907958984375,8455335,0.0,0.0
2023-11-01,361.41520519198446,365.8273925689648,359.9093307012707,364.91619873046875,3794295,0.0,0.0
2023-11-02,367.07429851234116,376.9537358606325,365.0216610657127,375.0066223144531,4288760,0.0,0.0
2023-11-03,376.4741869525472,389.02971747106744,374.4695253677289,386.2673034667969,9322270,0.0,0.0
2023-11-06,389.2511930000982,389.9196622695633,384.0293866147418,385.8700866699219,5634155,4.0,0.0
2023-11-07,387.49766770679827,388.5633158951518,378.65258670008154,385.03692626953125,8807090,0.0,0.0
2023-11-08,385.0368912540364,386.0928715248738,381.94644083237074,383.5740051269531,3525375,0.0,0.0
2023-11-09,381.70424565567333,381.70424565567333,375.89149064568846,376.5502624511719,4975345,0.0,0.0
2023-11-10,375.8915451989841,380.9195813775581,373.3533132066815,378.2554016113281,2430100,0.0,0.0
2023-11-13,379.26290917136157,382.285537125631,373.99267545846044,381.2779846191406,2779500,0.0,0.0
2023-11-15,384.6590973319576,395.499889097699,382.69244949909967,394.44390869140625,6346865,0.0,0.0
2023-11-16,394.64734686302484,397.39874391682037,390.52031041274034,394.44390869140625,3184495,0.0,0.0
2023-11-17,391.1887449372379,391.1887449372379,383.85497837129924,386.50946044921875,5468870,0.0,0.0
2023-11-20,386.54823781876536,389.41585556542964,383.21558899215427,385.3760070800781,2862980,0.0,0.0
2023-11-21,387.51703866951084,391.35344907408194,383.6806282649397,387.48797607421875,5089455,0.0,0.0
2023-11-22,388.47610798897364,389.45459790726693,378.45879675480495,383.0799560546875,2639075,0.0,0.0
2023-11-23,383.25432595023284,387.3038715789411,381.7042520087307,382.64398193359375,1529325,0.0,0.0
2023-11-24,382.64399244541374,383.6418475835406,376.1046427706943,377.3446960449219,2379295,0.0,0.0
2023-11-28,378.17788284847944,381.70430226886083,374.8355659611367,380.87115478515625,3604165,0.0,0.0
2023-11-29,380.87115729244164,383.9131508449671,379.76671947817084,382.5471496582031,3299720,0.0,0.0
2023-11-30,382.2951792673726,391.3921546775349,381.95612555780673,388.91204833984375,11002290,0.0,0.0
2023-12-01,390.2296572625169,393.31044027750875,386.9357682527643,388.1467590332031,3034950,0.0,0.0
2023-12-04,392.3609923600055,408.4429549969378,388.92179054935093,405.8175354003906,9360830,0.0,0.0
2023-12-05,405.81754190988994,406.6700545536751,395.85832570961657,401.0704345703125,8296900,0.0,0.0
2023-12-06,402.4364234072297,403.8121218507643,396.2361569378684,398.30938720703125,3598450,0.0,0.0
2023-12-07,399.32662258161247,401.0801348154686,393.32979404608756,394.25982666015625,3904160,0.0,0.0
2023-12-08,397.2049505591509,398.65813940266,390.365277434251,393.6398010253906,4218365,0.0,0.0
2023-12-11,393.6398035308421,400.6732174738547,390.51059289109594,396.64306640625,4948465,0.0,0.0
2023-12-12,400.11131685590544,400.11131685590544,385.2015855546512,386.5966491699219,7159045,0.0,0.0
2023-12-13,389.4449395855003,389.7840229187911,382.8765267415547,386.60638427734375,7973270,0.0,0.0
2023-12-14,388.67964484007143,412.7056920836469,388.5052396837182,410.438720703125,11924520,0.0,0.0
2023-12-15,410.18674701715463,411.0780491441611,401.09946844995994,402.5720520019531,11228265,0.0,0.0
2023-12-18,402.39766896427375,402.73675227789323,395.8292565013821,396.81744384765625,4203410,0.0,0.0
2023-12-19,398.910045911408,403.53117591751,395.2673763158673,399.05535888671875,11070960,0.0,0.0
2023-12-20,399.33628951978073,409.20828768727444,385.57942387698364,387.2748107910156,9435625,0.0,0.0
2023-12-21,386.9938777957043,396.7980540272416,382.09178967993563,390.7818603515625,9405990,0.0,0.0
2023-12-22,393.3104095604622,400.8863448216608,390.7140230604204,398.26092529296875,6928875,0.0,0.0
