Date,Zone,Currency,Importance,Event,Actual,Forecast,Previous
17/02/2026,Euro Zone,EUR,Medium,Zew Economic Sentiment  (Feb),,,40.8
18/02/2026,France,EUR,Medium,French Cpi (Mom)  (Jan),,,0.1%
18/02/2026,United Kingdom,GBP,Medium,Ppi Input (Mom)  (Jan),,,-0.2%
18/02/2026,France,EUR,Medium,French Hicp (Mom)  (Jan),,,-0.4%
18/02/2026,United Kingdom,GBP,High,Cpi (Yoy)  (Jan),,,3.4%
18/02/2026,United Kingdom,GBP,Medium,Cpi (Mom)  (Jan),,,0.4%
20/02/2026,United Kingdom,GBP,Medium,S&P Global Composite Pmi  (Feb),,,53.7
20/02/2026,Euro Zone,EUR,Medium,Hcob Eurozone Services Pmi  (Feb),,,51.6
20/02/2026,Euro Zone,EUR,Medium,Hcob Eurozone Composite Pmi  (Feb),,,51.3
20/02/2026,Euro Zone,EUR,Medium,Hcob Eurozone Manufacturing Pmi  (Feb),,,49.5
20/02/2026,Germany,EUR,Medium,Hcob Germany Services Pmi  (Feb),,,52.4
20/02/2026,Germany,EUR,Medium,Hcob Germany Manufacturing Pmi  (Feb),,,49.1
20/02/2026,France,EUR,Medium,Hcob France Services Pmi  (Feb),,,48.4
20/02/2026,France,EUR,Medium,Hcob France Manufacturing Pmi  (Feb),,,51.2
20/02/2026,Sweden,SEK,Medium,Cpi (Mom)  (Jan),,,0.1%
20/02/2026,Sweden,SEK,Medium,Cpi (Yoy)  (Jan),,,0.4%
20/02/2026,United Kingdom,GBP,Medium,Retail Sales (Yoy)  (Jan),,,2.5%
20/02/2026,United Kingdom,GBP,Medium,Retail Sales (Mom)  (Jan),,,0.4%
20/02/2026,United Kingdom,GBP,Medium,Core Retail Sales (Mom)  (Jan),,,0.3%
20/02/2026,United Kingdom,GBP,Medium,Core Retail Sales (Yoy)  (Jan),,,3.1%
20/02/2026,United Kingdom,GBP,Medium,S&P Global Manufacturing Pmi  (Feb),,,51.8
20/02/2026,Germany,EUR,Medium,German Ppi (Mom)  (Jan),,,-0.2%
20/02/2026,United Kingdom,GBP,Medium,S&P Global Services Pmi  (Feb),,,54.0
