"Symbol","Volume (Contracts) - Futures","Volume (Contracts) - Options","Volume (Contracts) - Total","Value (₹ Lakhs) - Futures","Value (₹ Lakhs) - Options (Premium)","Value (₹ Lakhs) - Total","Open Interest (Contracts)","Underlying"
"UNITDSPR",1875,4222,6097,10346.28372,302.20668,10648.4904,50549,1376.7
"CAMS",1785,4387,6172,10155.567375,485.3034,10640.870775,17348,756.5
"DALBHARAT",1487,2888,4375,10346.0340425,270.8459325,10616.879975,13076,2119
"LICI",1673,5369,7042,9976.51221,364.45787,10340.97008,29272,852
"ADANIENSOL",1281,4361,5642,8985.85299,524.4496875,9510.3026775,33872,1032
"SHREECEM",1327,3440,4767,9097.9630375,212.5413675,9310.504405,15797,27325
"TIINDIA",1644,4425,6069,8367.31932,394.6159,8761.93522,26222,2528.6
"AMBER",1168,5253,6421,7788.93704,654.82041,8443.75745,17293,6655
"PAGEIND",1328,8575,9903,7084.809495,431.1833985,7515.9928935,24184,35515
"APLAPOLLO",1058,1585,2643,7229.43669,147.928305,7377.364995,33365,1949.1
"SONACOMS",1210,2730,3940,7059.200435,269.974075,7329.17451,16185,473
"FINNIFTY",212,27265,27477,3552.58152,3196.8818039999996,6749.463323999999,15154,27853.35
"TORNTPOWER",1009,2799,3808,5997.26901,275.29392,6272.56293,11011,1392
"NUVAMA",623,1453,2076,4624.39005,184.51065,4808.9007,8625,1487.7
"NIFTYNXT50",207,426,633,3669.55074,74.7107375,3744.2614775,1217,70690.6
"SAIL",429,402,831,3022.12914,66.35084,3088.47998,59451,150.62
"BAJAJHLDNG",436,2188,2624,2439.39105,81.23966,2520.63071,3796,11202
"SAMMAANCAP",159,124,283,1027.33106,19.45879,1046.78985,41882,149.6
