symbol,futVolume,optVolume,totVolume,futTurnover,optTurnover,totTurnover,preTurnover,latestOI,underlying
SIEMENS,9339,7853,17192,47343.6882975,4145805118.0,47908.0894775,564.40118,25030,2900.5
ICICIGI,7976,4590,12566,46726.4919875,2746220948.25,47042.55647,316.0644825,23845,1813.4
TIINDIA,10303,15762,26065,45108.66046,7264183432.0,46281.55478,1172.89432,26766,2197.0
DALBHARAT,6472,8247,14719,44551.8920925,5775934690.5,44889.1339975,337.241905,16218,2108.1
NAUKRI,8985,16701,25686,43230.1715625,8279243047.5,44419.0020375,1188.830475,34050,1283.0
PIDILITIND,5879,4381,10260,42536.8849,3254569565.0,42897.78055,360.89565,21718,1443.5
SHREECEM,6103,7911,14014,41909.5689375,5496630255.0,42214.6214875,305.05255,14242,27155.0
OIL,6458,11300,17758,40139.03656,7307431208.0,41652.20864,1513.17208,18836,448.5
TATAELXSI,7421,20789,28210,40008.06455,11781918712.0,41263.30167,1255.23712,34561,5439.5
POWERINDIA,4875,10549,15424,40641.18154,8740245538.5,41251.886925,610.705385,12786,16836.0
NUVAMA,6113,9131,15244,38857.69675,6178017775.0,40183.8745,1326.17775,10326,1278.0
ALKEM,5511,12866,18377,39626.1604625,9122588243.75,39801.2304,175.0699375,15068,5755.0
KEI,5838,10454,16292,38653.80568,7335676489.75,39474.7330775,820.9273975,15641,3825.0
SUPREMEIND,6326,6370,12696,38301.167625,3896014622.5,38636.10135,334.933725,19033,3461.0
PPLPHARMA,9343,4770,14113,37157.74965,2118755415.0,37777.444425,619.694775,17313,153.5
IIFL,4224,11045,15269,35988.92352,9968628483.0,37034.41335,1045.48983,10814,528.15
PIIND,6332,3685,10017,34902.49455,2154875595.25,35290.4430025,387.9484525,22367,3175.0
KPITTECH,7199,8084,15283,33857.9465975,3903280584.25,34412.56994,554.6233425,19644,1111.0
PHOENIXLTD,5342,5094,10436,32212.59601,3095712504.5,32502.791055,290.195045,17042,1710.0
ICICIPRULI,4928,5807,10735,29367.727505,3559033700.0,29889.742005,522.0145,26905,638.0
UNOMINDA,4441,4925,9366,27710.60655,3324454248.5,28047.549035,336.942485,14546,1158.4
NIFTYNXT50,1605,14794,16399,26704.1926875,24772705839.75,27018.801085,314.6083975,3040,66696.55
TORNTPOWER,4713,3552,8265,25940.5034475,2027198090.5,26258.6493525,318.145905,13510,1310.0
MANKIND,5486,5747,11233,25784.8236675,2858026698.0,26191.1306475,406.30698,15885,2100.0
360ONE,4568,2818,7386,25380.8139,1655293235.0,25527.04625,146.23235,15558,1111.0
BLUESTARCO,4409,8780,13189,24079.41133,4810614705.0,24400.15838,320.74705,12689,1658.0
BAJAJHLDNG,3782,8963,12745,20020.181,4738882324.5,20110.654245,90.473245,9089,10610.0
